Item name,Billed Qty,Product MRP,Sales Unit,Product Cost (without tax),Product Tax %,Profit Margin,Cumulative Profit Margin,,,,,Unique Items,Cumulative Profit Margin Unique,,SORTED Unique Items,Profit Margin Unique SORTED,,Cumulative Profit Margin,Cumulative Profit Margin Unique %,Cumulative Profit Margin Unique % SUM,Category,,,,
METASENS VG 1 TABS,50,96.7,10,54.68,12,177.292,442350.6078,,,,,SUPERIOR TABS,459.3888,,ALFUSIN 10MG,367.6357067,70.40%,"1,358,735.19",0.02%,70.40%,A,,,,
AZTOLET 20MG,30,246,10,166.92,12,177.1488,442527.7566,,,,,ROPARK XL 1MG,352.3776,,POLYBION CZS,367.2144,70.42%,"1,359,102.40",0.02%,70.42%,A,,,,
AZTOLET 20MG,30,246,10,166.92,12,177.1488,442704.9054,,,,,METASPRAY 10ML,538.4956,,CETAPHIL RESTORADERM BODY WASH 295ML,367.1926,70.43%,"1,359,469.59",0.02%,70.43%,A,,,,
OLMEZEST 20MG,60,123,10,83.46,12,177.1488,442882.0542,,,,,FLAVEDON OD 80MG,240.95232,,NEBULIZER KIT (PED),367.04,70.45%,"1,359,836.63",0.02%,70.45%,A,,,,
GABAPIN 300MG,30,369,15,250.39,12,177.1264,443059.1806,,,,,SHELCAL 500MG,3349.73056,,CERVICAL PILLO,366.66,70.47%,"1,360,203.29",0.02%,70.47%,A,,,,
SERTA 50MG,60,184.2,15,124.99,12,176.8448,443236.0254,,,,,ACCU CHEK SOFTCLIX 200`S,114.6928,,KNEE CAP NILON {XXXL},366.3,70.49%,"1,360,569.59",0.02%,70.49%,A,,,,
HAIR 4U 5% 60ML,1,736,1,499.42,12,176.6496,443412.675,,,,,AZEFLO FT 7ML,114.652,,FAA 20MG,365.9031467,70.51%,"1,360,935.50",0.02%,70.51%,A,,,,
ACTAPRO OD,20,368,10,249.72,12,176.6272,443589.3022,,,,,NORFLOX 400mg,1032.51788,,PIOZ MF 15MG,365.5292,70.53%,"1,361,301.03",0.02%,70.53%,A,,,,
OBRIL GOLD SERUM,1,799,1,527.48,18,176.5736,443765.8758,,,,,EIDO FE TAB,267.1424,,KNEE CAP OPEN PATELLA,364.86,70.55%,"1,361,665.89",0.02%,70.55%,A,,,,
ONE TOUCH SELECT PLUS 25'S,1,650,1,422.76,12,176.5088,443942.3846,,,,,MULTIGATES FORTE,650.5686,,UV DOUX GEL,364.3296,70.57%,"1,362,030.22",0.02%,70.57%,A,,,,
ROZAVEL F 10MG,30,245,10,166.25,12,176.4,444118.7846,,,,,BUDAMATE 1MG RESPULES 7'S,315.616,,T-MINIC SYP 100ML,363.8992,70.59%,"1,362,394.12",0.02%,70.59%,A,,,,
OLVANCE H 40MG,30,245,10,166.25,12,176.4,444295.1846,,,,,PHEXIN 500MG,707.8168,,YAHER HERBAL SOAP,363.777,70.60%,"1,362,757.89",0.02%,70.60%,A,,,,
OLVANCE H 40MG,30,245,10,166.25,12,176.4,444471.5846,,,,,POLYBION CZS,367.2144,,AMISANT 50MG,363.129,70.62%,"1,363,121.02",0.02%,70.62%,A,,,,
ROZAVEL F 10MG,30,245,10,166.25,12,176.4,444647.9846,,,,,FASH X GEL 200GM,342.0078,,PROLOMET XL 12.5MG,362.984,70.64%,"1,363,484.01",0.02%,70.64%,A,,,,
MGD3 TABS,30,245,10,166.25,12,176.4,444824.3846,,,,,IDROFOS KIT,114.0016,,ACN SOAP 75 GM,362.5825,70.66%,"1,363,846.59",0.02%,70.66%,A,,,,
OLVANCE H 40MG,30,245,10,166.25,12,176.4,445000.7846,,,,,RETINO A MICRO 0.1% GEL,113.9904,,THYRONORM 150MG,362.5288,70.68%,"1,364,209.12",0.02%,70.68%,A,,,,
ROZAVEL F 10MG,30,245,10,166.25,12,176.4,445177.1846,,,,,TRIGLIMISAVE 2 HS TAB,113.9724,,DOLOPAR,362.33312,70.70%,"1,364,571.45",0.02%,70.70%,A,,,,
DEPURA VITAMIN D3 SOLUTION,8,379.96,4,260.54,12,176.3104,445353.495,,,,,PHYSIOMER ISOTONIC SPRAY {N.S},113.9152,,MESACOL OD,362.1312,70.72%,"1,364,933.58",0.02%,70.72%,A,,,,
COTTON GAUZE CLOTH  10CM X 20CM,4,77,1,29.4,12,176.288,445529.783,,,,,ZOCEF 250mg,113.87808,,DAFFY BAR,362.1246,70.74%,"1,365,295.71",0.02%,70.74%,A,,,,
COTTON GAUZE CLOTH  10CM X 20CM,4,77,1,29.4,12,176.288,445706.071,,,,,DILNIP T 40MG,113.8496,,PRIZIDE M 80MG,361.73696,70.75%,"1,365,657.44",0.02%,70.75%,A,,,,
ECONORM SACHET,10,57,1,35.16,12,176.208,445882.279,,,,,SEROFLO 250mg ROTOCAPS,544.9972,,MULTIGATES MAX,361.641,70.77%,"1,366,019.08",0.02%,70.77%,A,,,,
ORTHOHERB CREAM 30GM,3,145,1,77.03,12,176.1792,446058.4582,,,,,NEBASULF POWDER 10G,714.4468,,VILDAPHAGE M 50/500MG,361.636,70.79%,"1,366,380.72",0.02%,70.79%,A,,,,
SILDOO 8MG,20,367,10,249.03,12,176.1728,446234.631,,,,,MCBM 69 TABS,455.0272,,CALCIROL SYRUP,361.3864,70.81%,"1,366,742.11",0.02%,70.81%,A,,,,
ROSUVAS F 10MG,30,367,15,249.03,12,176.1728,446410.8038,,,,,ERITEL AM,325.4016,,NEBISTAR SA,360.8744,70.83%,"1,367,102.98",0.02%,70.83%,A,,,,
ROSEDAY F 10MG,30,244.65,10,166.01,12,176.1564,446586.9602,,,,,NEBZMART G SMARTULES 2ML RESPULES,227.0496,,XET CR 12.5MG,360.4952,70.85%,"1,367,463.48",0.02%,70.85%,A,,,,
ROSEDAY F 10MG,30,244.65,10,166.01,12,176.1564,446763.1166,,,,,UVOX 50MG,419.91152,,TUS Q DX 100ML,360.352,70.87%,"1,367,823.83",0.02%,70.87%,A,,,,
GLOBAC XT,30,240,15,135.72,12,175.9872,446939.1038,,,,,SUSTEN 200mg,459.1412,,TAZLOC H,360.312,70.89%,"1,368,184.14",0.02%,70.89%,A,,,,
GLOBAC XT,30,240,15,135.72,12,175.9872,447115.091,,,,,MYLOMAX PG TAB,415.7384,,SULPITAC 400MG,360.0192,70.90%,"1,368,544.16",0.02%,70.90%,A,,,,
SEROFLO 250MCG INHALER,1,733.09,1,497.46,12,175.9348,447291.0258,,,,,AZEE 500MG,761.9464,,ZCEUETIQ SERUM,360.002,70.92%,"1,368,904.16",0.02%,70.92%,A,,,,
SEROFLO 250MCG INHALER,1,733.09,1,497.46,12,175.9348,447466.9606,,,,,KOJIMED ULTRA CREAM 20GM,226.56,,TRICHOTON FORTE,359.9784,70.94%,"1,369,264.14",0.02%,70.94%,A,,,,
SEROFLO 250MCG INHALER,1,733.09,1,497.46,12,175.9348,447642.8954,,,,,TAZLOC TRIO 40MG,398.058,,NOVOPEN 4 PEN,359.7472,70.96%,"1,369,623.89",0.02%,70.96%,A,,,,
SEROFLO 250MCG INHALER,1,733.09,1,497.46,12,175.9348,447818.8302,,,,,OVIGYN-DSR 75MG,339.696,,UDAPA M 500 XR TAB,359.5968,70.98%,"1,369,983.48",0.02%,70.98%,A,,,,
SEROFLO 250MCG INHALER,1,733.09,1,497.46,12,175.9348,447994.765,,,,,XYZAL NASAL SPRAY,216.1724,,TICASAVE PLUS 90MG,359.04,71.00%,"1,370,342.52",0.02%,71.00%,A,,,,
SEROFLO 250MCG INHALER,1,733.09,1,497.46,12,175.9348,448170.6998,,,,,PAPULEX CLEANSING GEL 100ML,113.2084,,VEHYCAL XT TAB 15'S,358.816,71.02%,"1,370,701.34",0.02%,71.02%,A,,,,
SEROFLO 250MCG INHALER,1,733.09,1,497.46,12,175.9348,448346.6346,,,,,ZYLORIC,440.9808,,GUDCEF CV 200MG,358.18368,71.03%,"1,371,059.52",0.02%,71.03%,A,,,,
SEROFLO 250MCG INHALER,1,733.09,1,497.46,12,175.9348,448522.5694,,,,,CLARIBID 250MG,436.87608,,DOLOGEL CT 10GM,357.6784,71.05%,"1,371,417.20",0.02%,71.05%,A,,,,
LEUKOBAND 10CM,1,346,1,151.9,12,175.872,448698.4414,,,,,CANDIDERMA 20GM,751.0184,,FEEL FREE ADULT  MEDIUM 10'S,357.6224,71.07%,"1,371,774.82",0.02%,71.07%,A,,,,
DICORATE ER 250MG,70,108,10,74.05,12,175.448,448873.8894,,,,,METHYCOBAL 500MG,662.9557333,,ELECTRAL 21.8GM ORANGE,356.5935,71.09%,"1,372,131.42",0.02%,71.09%,A,,,,
ABZORB POWDER 100GM,4,142,1,87.64,12,175.3728,449049.2622,,,,,SILODAL 4MG,112.804,,AUGMENTIN DUO Sy,355.8912,71.11%,"1,372,487.31",0.02%,71.11%,A,,,,
RECLIMET TAB,45,211.5,15,136.68,12,175.2552,449224.5174,,,,,TRICLENZ HAIR CLEANSER 250ML,338.4066,,SEBAMED BABY SHAMPOO 150ML,355.855,71.13%,"1,372,843.16",0.02%,71.13%,A,,,,
ENSURE DIA VANNILA 1KG,1,1460,1,1147.14,12,175.2032,449399.7206,,,,,OLMEZEST AM 40MG,191.73824,,CATCHNIL TABS,355.6816,71.15%,"1,373,198.84",0.02%,71.15%,A,,,,
ENSURE DIA VANNILA 1KG,1,1460,1,1147.14,12,175.2032,449574.9238,,,,,FORXIGA 5MG,112.7554286,,TELSITE AM,355.68,71.16%,"1,373,554.52",0.02%,71.16%,A,,,,
COMBITIDE 250 INHALER,1,730,1,495.36,12,175.1968,449750.1206,,,,,AB FLO 100MG,420.86912,,TRI OLMEZEST 40MG,355.6608,71.18%,"1,373,910.19",0.02%,71.18%,A,,,,
COMBITIDE 250 INHALER,1,730,1,495.36,12,175.1968,449925.3174,,,,,MYMI D,603.4736,,LEUKOPORE 2.5 CM,355.1616,71.20%,"1,374,265.35",0.02%,71.20%,A,,,,
COMBITIDE 250 INHALER,1,730,1,495.36,12,175.1968,450100.5142,,,,,KNEE CAP NILON {MEDIUM},1802.88,,BUDAMATE 200MG TRANSCAPS,354.6048,71.22%,"1,374,619.95",0.02%,71.22%,A,,,,
CRANPAC D TABS,20,365,10,235.09,18,175.1876,450275.7018,,,,,ANKLET NILON {LARGE},563.4,,AZORAN 50MG,354.51225,71.24%,"1,374,974.46",0.02%,71.24%,A,,,,
MAGNEX FORTE 1.5GM INJ,1,729.06,1,494.72,12,174.9736,450450.6754,,,,,ANKLET NILON {MEDIUM},225.36,,ANKLET COTTON  {MEDIUM},354.2,71.26%,"1,375,328.66",0.02%,71.26%,A,,,,
AMARYL M 1MG,60,242.84,20,164.79,12,174.8256,450625.501,,,,,KNEE CAP NILON {SMALL},338.04,,OMNIGEL SPRAY 55GM,354.0576,71.27%,"1,375,682.72",0.02%,71.27%,A,,,,
AMARYL M 1MG,60,242.84,20,164.79,12,174.8256,450800.3266,,,,,ANKLET NILON {SMALL},112.68,,ZINCOFER NURTURE  3*10'S,353.8248,71.29%,"1,376,036.55",0.02%,71.29%,A,,,,
AMARYL M 1MG,60,242.84,20,164.79,12,174.8256,450975.1522,,,,,MULTIGATES GOLD,112.5574,,MOMATE XL CREAM,353.2992,71.31%,"1,376,389.85",0.02%,71.31%,A,,,,
CEPODEM XP 325MG,20,364,10,247,12,174.72,451149.8722,,,,,ONE TOUCH SELECT  25S,674.9472,,CAVERTA 50MG,353.2052,71.33%,"1,376,743.05",0.02%,71.33%,A,,,,
CEPODEM XP 325MG,20,364,10,247,12,174.72,451324.5922,,,,,DIAPRIDE M2 FORTE,220.9248,,TELMIKIND H 80MG,352.82,71.35%,"1,377,095.87",0.02%,71.35%,A,,,,
LIVOGEN XT,30,158.8,10,89.8,12,174.672,451499.2642,,,,,GLYCOMET 850 SR,293.0336,,BETAFREE EYE DROPS,352.8,71.37%,"1,377,448.67",0.02%,71.37%,A,,,,
PLANEP 25MG,30,363.8,15,246.87,12,174.6112,451673.8754,,,,,TAZLOC H,360.312,,L MONTUS KID,352.67776,71.38%,"1,377,801.35",0.02%,71.38%,A,,,,
PLANEP 25MG,30,363.8,15,246.87,12,174.6112,451848.4866,,,,,TRIVOGLITOR 1MG,261.6404,,DETTOL 250ML,352.584,71.40%,"1,378,153.93",0.02%,71.40%,A,,,,
ENCORATE CHRONO 500mg,60,121.15,10,82.21,12,174.4488,452022.9354,,,,,GLYCOMET 500MG,896.992,,ROPARK XL 1MG,352.3776,71.42%,"1,378,506.31",0.02%,71.42%,A,,,,
ENCORATE CHRONO 500mg,60,121.15,10,82.21,12,174.4488,452197.3842,,,,,GLYCOMET TRIO 1MG,877.8848,,PEXOCLAV 625MG,352.19436,71.44%,"1,378,858.50",0.02%,71.44%,A,,,,
SUHAGRA 100MG,4,192,4,15.68,12,174.4384,452371.8226,,,,,AMLONG 2.5MG,1438.4136,,CERVICAL COLLAR MEDIUM,352.17,71.46%,"1,379,210.67",0.02%,71.46%,A,,,,
AMARYL M 2MG,40,363.34,20,246.55,12,174.408,452546.2306,,,,,SOHA LIQUIGEL 10ML,111.8336,,CERVICAL COLLAR MEDIUM,352.17,71.48%,"1,379,562.84",0.02%,71.48%,A,,,,
AMARYL M 2MG,40,363.34,20,246.55,12,174.408,452720.6386,,,,,GLYCOMET GP 1,3041.49376,,RABIUM DSR,352.08,71.49%,"1,379,914.92",0.02%,71.49%,A,,,,
ANTIFLU 75MG CAP (OSELTAMIVIR ),10,726.72,10,493.14,12,174.4032,452895.0418,,,,,TELMED BETA 25MG,111.6288,,NAVAKESH,352.0452,71.51%,"1,380,266.97",0.02%,71.51%,A,,,,
KARE IN DIAPPER PANT MEDIUM,1,520,1,308.7,12,174.256,453069.2978,,,,,TRINERVE CAPS,186.048,,ATOGLA PROBIO 0.75 SACH,351.978,71.53%,"1,380,618.95",0.02%,71.53%,A,,,,
KARE IN DIAPPER PANT MEDIUM,1,520,1,308.7,12,174.256,453243.5538,,,,,RIBOVIN TAB,172.44272,,CALPOL,351.34128,71.55%,"1,380,970.29",0.02%,71.55%,A,,,,
KARE IN DIAPPER PANT MEDIUM,1,520,1,308.7,12,174.256,453417.8098,,,,,REGAINE 2% 60ML LOT,334.8192,,ACCU CHEK SOFTCLIX I I - LANCET,351.0432,71.57%,"1,381,321.33",0.02%,71.57%,A,,,,
HUF PUF KIT,1,726,1,492.64,12,174.2432,453592.053,,,,,GLYCIPHAGE G1,297.5872,,MUCOLITE 100ml,350.776,71.58%,"1,381,672.11",0.02%,71.58%,A,,,,
HUF PUF KIT,1,726,1,492.64,12,174.2432,453766.2962,,,,,MICROCID,162.9792,,CLOHEX ADS 200ML,350.7512,71.60%,"1,382,022.86",0.02%,71.60%,A,,,,
HUF PUF KIT,1,726,1,492.64,12,174.2432,453940.5394,,,,,SEACOD 100'S,334.6248,,BIO D3 PLUS,350.5962667,71.62%,"1,382,373.46",0.02%,71.62%,A,,,,
MATILDA AF,25,290.4,10,197.06,12,174.232,454114.7714,,,,,SELOKEN XL 25MG,487.1757333,,HAEM UP GEMS 30'S,350.5128,71.64%,"1,382,723.97",0.02%,71.64%,A,,,,
PRAZOQOL DSR,60,121,10,82.11,12,174.2208,454288.9922,,,,,GLIMISAVE MV 2.3MG TAB,111.4392,,MOMATE CREAM 15GM,350.4112,71.66%,"1,383,074.38",0.02%,71.66%,A,,,,
PRAZOQOL DSR,60,121,10,82.11,12,174.2208,454463.213,,,,,TENDOFYL C,144.81948,,METASENS VG 1 TABS,350.3776,71.68%,"1,383,424.76",0.02%,71.68%,A,,,,
FACE GUARD {TVAKSH} SPF 50+ 30GM,1,625,1,402.54,12,174.1552,454637.3682,,,,,BRIMOLOL EYE DROPS 5ML,445.4272,,AUCTOFIT TAB,350.3696,71.69%,"1,383,775.13",0.02%,71.69%,A,,,,
PROHANCE D POWDER,1,725,1,491.97,12,173.9936,454811.3618,,,,,ECOTEARS HA EYE DROPS,334.0704,,ARBITEL TRIO 50MG,350.304,71.71%,"1,384,125.43",0.02%,71.71%,A,,,,
PROHANCE D POWDER,1,725,1,491.97,12,173.9936,454985.3554,,,,,OLESOFT MAX CREAM,644.6096,,BIMAT LS EYE DROPS,349.9392,71.73%,"1,384,475.37",0.02%,71.73%,A,,,,
PROHANCE D POWDER,1,725,1,491.97,12,173.9936,455159.349,,,,,BRIVAZEN 50MG,149.7312,,VOLINI GEL 30GM,349.768,71.75%,"1,384,825.14",0.02%,71.75%,A,,,,
CALRIG PLUS TAB,30,249.9,10,162.64,18,173.9544,455333.3034,,,,,GLIZID MV ,259.7056,,ALPHAGAN Z DROPS,349.506,71.77%,"1,385,174.64",0.02%,71.77%,A,,,,
UNDERPAD,5,600,10,225.4,12,173.776,455507.0794,,,,,FLUTIFLO FT SPRAY,222.4752,,KORANDIL 10MG 10'S,349.2576,71.78%,"1,385,523.90",0.02%,71.78%,A,,,,
UNDERPAD,5,600,10,225.4,12,173.776,455680.8554,,,,,CYBLEX MV 80.3MG,614.98528,,CANDIBIOTIC DROPS 5ML=PLUS,348.972,71.80%,"1,385,872.87",0.02%,71.80%,A,,,,
ROZAVEL 20MG,20,362,10,245.64,12,173.7664,455854.6218,,,,,LOBUN 10MG TAB,111.1936,,AQUA DERM 200ML,348.8812,71.82%,"1,386,221.75",0.02%,71.82%,A,,,,
ROZAVEL 20MG,20,362,10,245.64,12,173.7664,456028.3882,,,,,UROTONE 25MG,147.9808,,OMNIGEL SPRAY 75GM,348.8096,71.84%,"1,386,570.56",0.02%,71.84%,A,,,,
CARDACE H 5MG,30,361.8,15,245.51,12,173.6576,456202.0458,,,,,GUMMIFER SNDS GUMMIES 30'S,111.099,,TELMA CT 40/12.5MG,348.65856,71.86%,"1,386,919.22",0.02%,71.86%,A,,,,
BRUFEN POWER SPRAY 40GM,3,150,1,82.28,12,173.5392,456375.585,,,,,EVALON CREAM 15gm,659.1888,,ONE TOUCH VERIO 100'S,348.3328,71.87%,"1,387,267.56",0.02%,71.87%,A,,,,
PHOTOSTABLE GEL,1,722,1,465.02,18,173.2764,456548.8614,,,,,STARCAD B 25MG,166.5882,,TRYPTOMER 25MG,348.096,71.89%,"1,387,615.65",0.02%,71.89%,A,,,,
METASENS VG 1 TABS,60,87.95,10,52.77,12,173.0856,456721.947,,,,,LOSAR H,221.7542133,,GARLIC PEARLS 100'S,348.08,71.91%,"1,387,963.73",0.02%,71.91%,A,,,,
BRIVALEX 25MG,90,120,15,81.42,12,172.8576,456894.8046,,,,,BORIC ACID 100g,166.4592,,FOURDERM CREAM 10GM,347.556,71.93%,"1,388,311.29",0.02%,71.93%,A,,,,
MIRTAZ 15MG,60,120,10,81.42,12,172.8576,457067.6622,,,,,PAUSE MF CAPS,110.9344,,AMLOPRES L,347.28,71.95%,"1,388,658.57",0.02%,71.95%,A,,,,
ALLERBIO CAP,30,240,10,154.57,18,172.8222,457240.4844,,,,,GLOVES {HOUSEHOLD},593.5152,,EMESET SYP,347.1912,71.96%,"1,389,005.76",0.02%,71.96%,A,,,,
PARKITIDIN ER 129MG,30,240,10,162.86,12,172.7904,457413.2748,,,,,VIBRANIA CAPS,332.64,,TELPRES H,346.8356,71.98%,"1,389,352.59",0.02%,71.98%,A,,,,
FIBATOR TAB,30,240,10,162.86,12,172.7904,457586.0652,,,,,MECOBION OD,110.88,,SUHAGRA 100MG,346.6816,72.00%,"1,389,699.28",0.02%,72.00%,A,,,,
CHOLINESAVE TAB,3,240,1,162.86,12,172.7904,457758.8556,,,,,RABICIP L CAPS,143.86736,,METZOK 25MG,346.3784,72.02%,"1,390,045.65",0.02%,72.02%,A,,,,
TAMSPURT D TAB,30,240,10,162.86,12,172.7904,457931.646,,,,,REMO V TAB 10'S,147.3632,,ZEDEX SYP 100ML,346.244,72.04%,"1,390,391.90",0.02%,72.04%,A,,,,
FIBATOR TAB,30,240,10,162.86,12,172.7904,458104.4364,,,,,SEBAMED OLIVE FACE BODY WASH 200ML,331.5012,,DIABEND M,345.9864,72.05%,"1,390,737.89",0.02%,72.05%,A,,,,
APIGAT 2.5MG 30'S,1,720,1,488.58,12,172.7904,458277.2268,,,,,HANSAPLAST BAND AID LARGE,379.3696,,777 OIL 200ML,345.5808,72.07%,"1,391,083.47",0.02%,72.07%,A,,,,
APIGAT 2.5MG 30'S,1,720,1,488.58,12,172.7904,458450.0172,,,,,VERTIREST 16MG,110.432,,INSULATARD FLEXIPEN,345.2925,72.09%,"1,391,428.76",0.02%,72.09%,A,,,,
APIGAT 2.5MG 30'S,1,720,1,488.58,12,172.7904,458622.8076,,,,,AMLONG H,397.2445867,,NICARDIA XL 60MG,344.8932,72.11%,"1,391,773.65",0.02%,72.11%,A,,,,
STORVAS 40MG,30,239.9,10,162.79,12,172.7256,458795.5332,,,,,CEROXIM 500MG,198.72576,,BTN ULTRA TABS,344.8392,72.13%,"1,392,118.49",0.02%,72.13%,A,,,,
STORVAS 40MG,30,239.9,10,162.79,12,172.7256,458968.2588,,,,,COLOPREP KIT LIQUID,441.6128,,BETALOC 50MG,344.7390667,72.14%,"1,392,463.23",0.02%,72.14%,A,,,,
STORVAS 40MG,30,239.9,10,162.79,12,172.7256,459140.9844,,,,,SOMPRAZ D 40MG,1629.026133,,GEMITROL,344.5568,72.16%,"1,392,807.79",0.02%,72.16%,A,,,,
GLUFORMIN G2 FORTE,45,239.74,15,162.68,12,172.6152,459313.5996,,,,,MINOZ OD 100MG,165.6048,,GLIMESTAR M2,344.2176,72.18%,"1,393,152.00",0.02%,72.18%,A,,,,
HAPPI D,30,285.78,15,178.15,12,172.504,459486.1036,,,,,XERINA CREAM,220.8028,,REPACE H TAB,343.264,72.20%,"1,393,495.27",0.02%,72.20%,A,,,,
SUHAGRA 100MG,4,192,4,17.64,12,172.2432,459658.3468,,,,,AB PHYLLIN SR TAB,482.80128,,PREGABA NT TAB,343.2416,72.21%,"1,393,838.51",0.02%,72.21%,A,,,,
ARPIZOL 15MG,30,191.8,10,120,12,172.2,459830.5468,,,,,ROZULA CV 20MG,386.3328,,CARDIOPLUS,343.1098667,72.23%,"1,394,181.62",0.02%,72.23%,A,,,,
MIRAGO 25MG,30,239,10,162.17,12,172.1088,460002.6556,,,,,RETINO A 0.025% 25g,533.536,,MAMAXPERT PREGNANCY TEST CARD,342.8672,72.25%,"1,394,524.49",0.02%,72.25%,A,,,,
DIAMICRON XR MEX 500MG,42,238.7,14,161.98,12,171.8472,460174.5028,,,,,ROSEDAY GOLD 20MG,110.34,,FASH X GEL 200GM,342.0078,72.27%,"1,394,866.49",0.02%,72.27%,A,,,,
UDILIV 300MG,15,715.93,15,518.2,5,171.82,460346.3228,,,,,ORNI O,425.6392,,ALPHAGAN P EYE DROP,341.7404,72.29%,"1,395,208.24",0.02%,72.29%,A,,,,
FERONIA XT,30,156.1,10,88.27,12,171.7128,460518.0356,,,,,NEXITO FORTE,862.812,,DAFLON 1000GM,341.5869867,72.30%,"1,395,549.82",0.02%,72.30%,A,,,,
DILZEM CD 90MG,60,119.2,10,80.88,12,171.6864,460689.722,,,,,ENTACOM 200MG,110.1648,,COGNIVEL TABS,341.2224,72.32%,"1,395,891.04",0.02%,72.32%,A,,,,
DILZEM CD 90MG,60,119.2,10,80.88,12,171.6864,460861.4084,,,,,DORZOX EYE DROPS,550.75,,ROLES D 20MG+30MG,340.96736,72.34%,"1,396,232.01",0.02%,72.34%,A,,,,
JOINTACE DN,30,370,15,253.72,12,171.6672,461033.0756,,,,,YASMIN 21'S,440.36,,LIBRIUM 10MG,339.9874667,72.36%,"1,396,572.00",0.02%,72.36%,A,,,,
VOLIBO 0.3MG,50,143,10,97.03,12,171.632,461204.7076,,,,,RESOURCE DIABETIC 400GM VAN,220.12,,VANTEJ 50GM,339.84,72.37%,"1,396,911.84",0.02%,72.37%,A,,,,
ARGIN GRANULES,12,53.5,1,35,12,171.6,461376.3076,,,,,RENERVE PLUS BT,305.504,,GASOFILM STRIP ( 30  SACHET),339.75744,72.39%,"1,397,251.60",0.02%,72.39%,A,,,,
ACTIS C2 FORTE TAB 10'S,1,739,1,480.98,18,171.4436,461547.7512,,,,,NUROKIND GOLD,402.9432,,OVIGYN-DSR 75MG,339.696,72.41%,"1,397,591.29",0.02%,72.41%,A,,,,
SIZODON 4MG,80,89.3,10,60.6,12,171.424,461719.1752,,,,,LETOVAL TAB,164.7756,,ACITROM 1mg,338.8373333,72.43%,"1,397,930.13",0.02%,72.43%,A,,,,
VOGLISTAR PLUS 0.3MG,30,173.68,15,78.57,12,171.3632,461890.5384,,,,,PEVESCA SR PLUS 75,581.3844,,REPAVERINE,338.73088,72.44%,"1,398,268.86",0.02%,72.44%,A,,,,
VIGAMOX  5ML DROPS,2,357,1,242.25,12,171.36,462061.8984,,,,,MINIPRESS XL 2.5MG,325.1812,,OLMAT 20MG,338.496,72.46%,"1,398,607.36",0.02%,72.46%,A,,,,
AZTOLET 20MG,30,246,10,168.68,12,171.2352,462233.1336,,,,,OBRIL CREAM 20GM,219.0086,,SIZOPIN 50MG,338.4816,72.48%,"1,398,945.84",0.02%,72.48%,A,,,,
RENERVE PLUS,30,277,15,170.88,12,171.2288,462404.3624,,,,,FURAMIST AZ NASAL SPRAY,109.6044,,CURKEY SYP 60ML,338.442,72.50%,"1,399,284.28",0.02%,72.50%,A,,,,
RENERVE PLUS,30,277,15,170.88,12,171.2288,462575.5912,,,,,FLAVOSPAS 200MG,246.114,,TRICLENZ HAIR CLEANSER 250ML,338.4066,72.51%,"1,399,622.69",0.02%,72.51%,A,,,,
RENERVE PLUS,30,277,15,170.88,12,171.2288,462746.82,,,,,LOSAR 25MG,819.162,,KNEE CAP NILON {SMALL},338.04,72.53%,"1,399,960.73",0.02%,72.53%,A,,,,
RENERVE PLUS,30,277,15,170.88,12,171.2288,462918.0488,,,,,NOVEFOS SACHET,109.2,,MIKACIN 500MG INJ,337.8875,72.55%,"1,400,298.61",0.02%,72.55%,A,,,,
RENERVE PLUS,30,277,15,170.88,12,171.2288,463089.2776,,,,,PANTOSEC 40,218.2136,,UNIENZYME,337.6866133,72.57%,"1,400,636.30",0.02%,72.57%,A,,,,
RENERVE PLUS,30,277,15,170.88,12,171.2288,463260.5064,,,,,BANDAGE CLOTH 10 *3M,617.87424,,GLIMESTAR 2MG,337.6768,72.58%,"1,400,973.98",0.02%,72.58%,A,,,,
RENERVE PLUS,30,277,15,170.88,12,171.2288,463431.7352,,,,,NOVOFINE NEEDLES,647.836,,KETO SOAP 50GM,337.6656,72.60%,"1,401,311.64",0.02%,72.60%,A,,,,
RENERVE PLUS,30,277,15,170.88,12,171.2288,463602.964,,,,,ROSEDAY 5MG,1018.413333,,ASTYMIN FORTE,337.49976,72.62%,"1,401,649.14",0.02%,72.62%,A,,,,
RENERVE PLUS,30,277,15,170.88,12,171.2288,463774.1928,,,,,TAZLOC 20MG,432.2304,,PROCTOSEDYL OINTMENT 20G,337.464,72.64%,"1,401,986.61",0.02%,72.64%,A,,,,
RENERVE PLUS,30,277,15,170.88,12,171.2288,463945.4216,,,,,MUPIMET,309.6784,,STILOZ 50MG,336.98496,72.65%,"1,402,323.59",0.02%,72.65%,A,,,,
RENERVE PLUS,30,277,15,170.88,12,171.2288,464116.6504,,,,,RAZEL CV 10/75,398.5696,,ZUKANORM M 500MG,336.9536,72.67%,"1,402,660.55",0.02%,72.67%,A,,,,
RENERVE PLUS,30,277,15,170.88,12,171.2288,464287.8792,,,,,VIZYLAC GG CAPS,217.2016,,LASILACTONE 50MG,336.81092,72.69%,"1,402,997.36",0.02%,72.69%,A,,,,
RENERVE PLUS,30,277,15,170.88,12,171.2288,464459.108,,,,,OLEANZ PLUS,1058.0544,,GLYCOMET TRIO 1/0.3,336.7744,72.71%,"1,403,334.13",0.02%,72.71%,A,,,,
